scorer,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000
bodyparts,haut,haut,haut,milieu,milieu,milieu,bas,bas,bas
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,198.26968383789062,171.15548706054688,0.9501600861549377,201.2736053466797,222.1443634033203,0.9344598650932312,200.2867431640625,262.5383605957031,0.9352782368659973
1,197.71690368652344,170.3351287841797,0.9527973532676697,201.0530242919922,221.49781799316406,0.9296892881393433,200.60977172851562,263.3481140136719,0.9220572113990784
2,196.6491241455078,172.4871368408203,0.9507841467857361,200.4384307861328,221.51844787597656,0.9269313216209412,201.341552734375,264.5877685546875,0.917670726776123
3,197.29298400878906,172.45391845703125,0.9453760385513306,200.24452209472656,222.1609344482422,0.9419987201690674,199.67005920410156,262.50189208984375,0.9263300895690918
4,196.48341369628906,174.3214569091797,0.9439898133277893,202.6977996826172,221.98829650878906,0.9477502107620239,199.3297576904297,263.5838928222656,0.9405816793441772
5,197.37229919433594,173.26600646972656,0.9440586566925049,200.8111572265625,223.43405151367188,0.9544614553451538,201.1207275390625,264.8739929199219,0.9033437371253967
6,196.45904541015625,174.4813232421875,0.9598650336265564,200.14060974121094,223.4774627685547,0.949505090713501,200.7460479736328,264.5726318359375,0.9029485583305359
7,196.4403076171875,175.32188415527344,0.9595527648925781,200.48826599121094,223.458251953125,0.9528515934944153,200.47019958496094,265.158203125,0.911639928817749
8,197.75619506835938,172.91976928710938,0.9527330994606018,200.31045532226562,223.4195556640625,0.9532272815704346,201.078857421875,265.1686096191406,0.9100769758224487
9,197.91531372070312,173.89553833007812,0.9548312425613403,200.5387420654297,223.36366271972656,0.955828070640564,201.7912139892578,264.73248291015625,0.90461266040802
10,198.63580322265625,172.21726989746094,0.945455014705658,200.9723358154297,223.45713806152344,0.9569826126098633,200.89710998535156,264.7027282714844,0.9121553897857666
11,197.76174926757812,172.93017578125,0.9500335454940796,201.13259887695312,223.0200653076172,0.953720211982727,201.38055419921875,265.184326171875,0.9007502794265747
12,198.18081665039062,174.13526916503906,0.9359516501426697,201.90167236328125,222.85372924804688,0.9560256600379944,202.06361389160156,264.8453063964844,0.9136014580726624
13,199.15777587890625,172.20947265625,0.944642186164856,202.7519989013672,222.84019470214844,0.9548956155776978,201.70912170410156,263.7340393066406,0.9265720844268799
14,199.77845764160156,172.3143310546875,0.9401097893714905,202.70425415039062,222.3861846923828,0.951359748840332,202.14573669433594,263.02197265625,0.9332623481750488
15,200.63406372070312,171.83346557617188,0.9180036187171936,205.80545043945312,223.6439971923828,0.9505862593650818,203.25192260742188,262.7078552246094,0.9188165664672852
16,200.88320922851562,173.20225524902344,0.9279841184616089,205.118896484375,224.56846618652344,0.9599660038948059,203.0740966796875,264.03387451171875,0.9029929637908936
17,201.44717407226562,175.03114318847656,0.9324901700019836,205.1699676513672,225.09959411621094,0.9629068970680237,204.61402893066406,265.9548034667969,0.9174380898475647
