scorer,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000
bodyparts,haut,haut,haut,milieu,milieu,milieu,bas,bas,bas
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,201.44717407226562,174.2329864501953,0.9342887997627258,205.4184112548828,224.56846618652344,0.9619150161743164,204.08924865722656,265.9548034667969,0.8967816829681396
19,201.65428161621094,174.3067626953125,0.9148528575897217,205.57139587402344,224.5721893310547,0.9671932458877563,204.24497985839844,265.9548034667969,0.9140321016311646
20,201.65428161621094,174.2329864501953,0.9106920957565308,205.61083984375,224.55638122558594,0.9669615626335144,204.24497985839844,265.9668884277344,0.9070038199424744
21,201.65428161621094,173.7583770751953,0.9290215969085693,205.6693878173828,224.5721893310547,0.9656032919883728,204.28369140625,265.9668884277344,0.9015597701072693
22,201.64111328125,173.7583770751953,0.9160289168357849,205.6693878173828,224.67538452148438,0.966505229473114,204.52345275878906,265.9668884277344,0.9054680466651917
23,201.43536376953125,172.88821411132812,0.9190862774848938,205.59873962402344,224.68482971191406,0.9697080850601196,205.0684051513672,266.763671875,0.920961856842041
24,200.99842834472656,172.88821411132812,0.9206027984619141,205.59873962402344,224.68482971191406,0.9630894064903259,205.0684051513672,267.60858154296875,0.9274237155914307
25,200.47549438476562,172.88821411132812,0.9190279841423035,205.4727783203125,224.68482971191406,0.958453357219696,205.08010864257812,267.90826416015625,0.9219436049461365
26,200.38299560546875,172.88821411132812,0.9151974320411682,204.89158630371094,224.58746337890625,0.9492923617362976,205.0684051513672,267.90826416015625,0.9144411087036133
27,199.68679809570312,173.64439392089844,0.9212468862533569,204.7523651123047,224.40426635742188,0.9514255523681641,205.0684051513672,267.90826416015625,0.9339187145233154
28,199.68679809570312,173.64439392089844,0.9280021786689758,203.98329162597656,223.0000762939453,0.9510176181793213,205.46896362304688,267.90826416015625,0.9261577725410461
29,200.38299560546875,172.201904296875,0.9291878938674927,203.90670776367188,223.0000762939453,0.9497667551040649,206.36343383789062,267.64642333984375,0.9313279986381531
30,200.3302459716797,172.70721435546875,0.9295626878738403,203.83551025390625,222.9784393310547,0.953791081905365,206.36343383789062,267.5975341796875,0.9374439120292664
31,200.3302459716797,172.70721435546875,0.9291990995407104,203.83551025390625,223.0000762939453,0.9571110010147095,206.36343383789062,267.17718505859375,0.9305439591407776
32,200.3302459716797,172.70721435546875,0.9333900809288025,203.5535430908203,223.0000762939453,0.9535709023475647,206.4441680908203,267.11151123046875,0.9276590347290039
33,199.96969604492188,173.53451538085938,0.9195470213890076,203.38357543945312,222.57794189453125,0.9546076655387878,206.17434692382812,267.11151123046875,0.934404730796814
34,199.9425811767578,173.53451538085938,0.9316990375518799,203.29373168945312,222.57794189453125,0.9533388614654541,206.17434692382812,267.11151123046875,0.9273916482925415
35,199.78262329101562,173.53451538085938,0.9303922057151794,202.6906280517578,223.09683227539062,0.9545472264289856,206.17434692382812,267.1755065917969,0.9292653799057007
36,199.1264190673828,173.20745849609375,0.9469341039657593,202.50155639648438,223.41705322265625,0.9600775241851807,206.12709045410156,267.18603515625,0.923328161239624
37,198.6117706298828,172.9449920654297,0.9508089423179626,202.34207153320312,223.5185546875,0.9624592661857605,205.77830505371094,267.5827331542969,0.9109445810317993
38,198.49790954589844,172.9449920654297,0.9533119797706604,202.34207153320312,223.5185546875,0.9602511525154114,205.77830505371094,267.5827331542969,0.9039304852485657
39,198.49790954589844,173.20745849609375,0.9506269693374634,202.17555236816406,223.41705322265625,0.9613319039344788,205.70437622070312,267.5827331542969,0.9131069779396057
40,198.2313232421875,173.20745849609375,0.9418194890022278,202.34207153320312,223.20785522460938,0.9607113599777222,205.77830505371094,267.4291076660156,0.9203904867172241
41,198.49790954589844,172.85276794433594,0.9550256133079529,202.34207153320312,223.20785522460938,0.959479570388794,205.77830505371094,267.1912841796875,0.909274160861969
42,198.49940490722656,172.84228515625,0.9523285627365112,202.38304138183594,223.20785522460938,0.95976322889328,205.67095947265625,267.1912841796875,0.9310675859451294
